,link,title,year,marketing_year,price,price_text,price_info,price_info_price,kms,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
230,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/SSE-AD-14075650/?Cr=230,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51900.0,"$51,900*",Excl. Govt. Charges,51900.0,38100,SSE-AD-14075650,private,Subaru,Outback,    Touring 6GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"38,100 km"
231,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-20915080/?Cr=231,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,55346.0,"$55,346 Drive Away","$51,950 Excl. Est. Govt. Charges",51950.0,2897,OAG-AD-20915080,dealer,Subaru,Outback,    Touring 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"2,897 km"
232,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-21374147/?Cr=232,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,53700.0,"$53,700 Drive Away","$51,965 Excl. Est. Govt. Charges",51965.0,7000,OAG-AD-21374147,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"7,000 km"
233,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21384667/?Cr=233,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51990.0,"$51,990*",Excl. Govt. Charges,51990.0,13000,OAG-AD-21384667,dealer,Subaru,Outback,    Touring 6GEN   ,SA,SUV,Automatic,4cyl 2.5L Petrol,,"13,000 km"
234,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21072347/?Cr=234,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,51990.0,"$51,990*",Excl. Govt. Charges,51990.0,18865,OAG-AD-21072347,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"18,865 km"
235,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my22/OAG-AD-21399747/?Cr=235,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY22,2022,MY22,51990.0,"$51,990*",Excl. Govt. Charges,51990.0,8153,OAG-AD-21399747,dealer,Subaru,Outback,    Sport 6GEN   ,TAS,SUV,Automatic,4cyl 2.5L Petrol,,"8,153 km"
236,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my22/OAG-AD-21393266/?Cr=236,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY22,2022,MY22,53692.0,"$53,692 Drive Away","$52,099 Excl. Est. Govt. Charges",52099.0,5270,OAG-AD-21393266,dealer,Subaru,Outback,    Sport 6GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"5,270 km"
237,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-20866281/?Cr=237,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,54665.0,"$54,665 Drive Away","$52,530 Excl. Est. Govt. Charges",52530.0,2750,OAG-AD-20866281,dealer,Subaru,Outback,    Touring 6GEN   ,TAS,SUV,Automatic,4cyl 2.5L Petrol,,"2,750 km"
238,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21355058/?Cr=238,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,54991.0,"$54,991 Drive Away","$52,731 Excl. Est. Govt. Charges",52731.0,18500,OAG-AD-21355058,dealer,Subaru,Outback,    Touring 6GEN   ,VIC,SUV,Automatic,4cyl 2.5L Petrol,,"18,500 km"
239,https://www.carsales.com.au/cars/details/2021-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21107298/?Cr=239,2021 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2021,MY21,52888.0,"$52,888*",Excl. Govt. Charges,52888.0,15385,OAG-AD-21107298,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"15,385 km"
