,link,title,year,marketing_year,price,price_text,price_info,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
166,https://www.carsales.com.au/cars/details/2015-ford-mondeo-trend-md-auto/SSE-AD-13909671/?Cr=166,2015 Ford Mondeo Trend MD Auto,2015,,15000,"$15,000*",Excl. Govt. Charges,SSE-AD-13909671,private,Ford,Mondeo,   Trend MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"149,800 km"
167,https://www.carsales.com.au/cars/details/2017-ford-mondeo-titanium-md-auto-my18-25/SSE-AD-13473415/?Cr=167,2017 Ford Mondeo Titanium MD Auto MY18.25,2017,MY18.25,24500,"$24,500*",Excl. Govt. Charges,SSE-AD-13473415,private,Ford,Mondeo,   Titanium MD  ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"100,000 km"
168,https://www.carsales.com.au/cars/details/2016-ford-mondeo-titanium-md-auto/SSE-AD-14158861/?Cr=168,2016 Ford Mondeo Titanium MD Auto,2016,,26800,"$26,800*",Excl. Govt. Charges,SSE-AD-14158861,private,Ford,Mondeo,   Titanium MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"87,600 km"
169,https://www.carsales.com.au/cars/details/2016-ford-mondeo-titanium-md-auto/SSE-AD-13554053/?Cr=169,2016 Ford Mondeo Titanium MD Auto,2016,,19999,"$19,999*",Excl. Govt. Charges,SSE-AD-13554053,private,Ford,Mondeo,   Titanium MD ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"171,000 km"
170,https://www.carsales.com.au/cars/details/2015-ford-mondeo-trend-md-auto/SSE-AD-13390314/?Cr=170,2015 Ford Mondeo Trend MD Auto,2015,,17000,"$17,000*",Excl. Govt. Charges,SSE-AD-13390314,private,Ford,Mondeo,   Trend MD ,SA,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"126,000 km"
171,https://www.carsales.com.au/cars/details/2016-ford-mondeo-ambiente-md-auto/SSE-AD-13836261/?Cr=171,2016 Ford Mondeo Ambiente MD Auto,2016,,16888,"$16,888*",Excl. Govt. Charges,SSE-AD-13836261,private,Ford,Mondeo,   Ambiente MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"115,000 km"
172,https://www.carsales.com.au/cars/details/2015-ford-mondeo-ambiente-md-auto/SSE-AD-13947560/?Cr=172,2015 Ford Mondeo Ambiente MD Auto,2015,,16000,"$16,000*",Excl. Govt. Charges,SSE-AD-13947560,private,Ford,Mondeo,   Ambiente MD ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"136,000 km"
173,https://www.carsales.com.au/cars/details/2017-ford-mondeo-titanium-md-auto-my17-5/SSE-AD-13995124/?Cr=173,2017 Ford Mondeo Titanium MD Auto MY17.5,2017,MY17.5,28500,"$28,500*",Excl. Govt. Charges,SSE-AD-13995124,private,Ford,Mondeo,   Titanium MD  ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"36,642 km"
174,https://www.carsales.com.au/cars/details/2013-ford-mondeo-titanium-ecoboost-mc-auto/SSE-AD-12037842/?Cr=174,2013 Ford Mondeo Titanium EcoBoost MC Auto,2013,,13999,"$13,999*",Excl. Govt. Charges,SSE-AD-12037842,private,Ford,Mondeo,   Titanium EcoBoost MC ,QLD,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"125,080 km"
175,https://www.carsales.com.au/cars/details/2017-ford-mondeo-ambiente-md-auto-my18-25/SSE-AD-14007238/?Cr=175,2017 Ford Mondeo Ambiente MD Auto MY18.25,2017,MY18.25,19500,"$19,500*",Excl. Govt. Charges,SSE-AD-14007238,private,Ford,Mondeo,   Ambiente MD  ,QLD,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"99,800 km"
